version:v1.0
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Employee ONE,employee1@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWO,employee2@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee THREE,employee3@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee FOUR,employee4@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee FIVE,employee5@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee SIX,employee6@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee SEVEN,employee7@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee EIGHT,employee8@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee NINE,employee9@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TEN,employee10@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee ELEVEN,employee11@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWELVE,employee12@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee THIRTEEN,employee13@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee FOURTEEN,employee14@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee FIFTEEN,employee15@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee SIXTEEN,employee16@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee SEVENTEEN,employee17@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee EIGHTEEN,employee18@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee NINETEEN,employee19@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWENTY,employee20@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWENTY-ONE,employee21@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWENTY-TWO,employee21@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWENTY-THREE,employee21@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
Employee TWENTY-FOUR,employee21@XXXXXX.XX, XXXXXXXXXXXXXXXXXX, No,,,,,,,,,,,,,
